a
de
o
que
e
harry
se
não
um
para
com
do
os
uma
disse
da
ron
em
as
no
é
mas
na
ele
por
dos
ao
como
à
eu
mais
estava
lhe
hermione
era
quando
me
tinha
foi
lockhart
malfoy
bem
ter
te
muito
das
weasley
olhos
nos
perguntou
enquanto
sem
até
ela
ser
seu
cabeça
fazer
sobre
coisa
hagrid
todos
voz
dumbledore
dobby
lá
tu
sua
porta
ver
vez
está
ainda
onde
isso
dizer
já
mr
pelo
tinham
casa
potter
só
riddle
aqui
parecia
mesmo
olhou
tudo
quem
fora
slytherin
grande
ar
quase
professora
porque
varinha
ginny
num
lo
escola
nunca
tempo
professor
estavam
frente
tão
eles
numa
dentro
agora
fred
mrs
nas
fez
nada
snape
novo
vamos
olhar
gryffindor
também
gritou
lhes
melhor
volta
chão
viu
hogwarts
mc_gonagall
deu
george
depois
mão
aos
atrás
meio
câmara
há
dois
lado
minha
cima
pela
toda
dele
ir
outro
ninguém
seus
carro
meu
senhor
diário
ou
antes
pouco
ouviu
enorme
tem
rosto
durante
coisas
sim
olhando
voltou
falar
percy
vocês
dia
mal
às
sala
nós
ficar
então
tenho
murta
momento
sido
muggles
alguma
vai
abriu
nem
estás
boca
qualquer
estar
lugar
isto
ano
sempre
ficou
noite
fosse
contra
outra
pessoas
começou
assim
dar
alguém
tivesse
três
fim
acho
pai
alunos
rapidamente
magia
junto
forma
havia
ia
seguida
segredos
pé
estou
cama
filch
mãos
cara
suas
vou
podia
oh
pode
murmurou
embora
foram
todo
tarde
deve
chapéu
claro
entre
deles
castelo
feiticeiros
equipa
respondeu
estado
outros
livros
cheio
sorriso
exclamou
tom
são
multidão
direcção
cada
la
sei
feiticeiro
vão
sair
alguns
através
todas
aula
baixo
anos
ouvir
si
colin
madam
nick
mesa
menos
pôs
quidditch
cabelo
nenhum
vezes
sabia
trás
parede
banho
luz
tio
saiu
voltar
bastante
janela
alto
estão
saber
quarto
tua
aquele
dela
ali
vernon
esta
sangue
nome
braço
trabalho
silêncio
pés
temos
corredor
pequeno
talvez
pelos
caminho
wood
queria
debaixo
maior
seguir
teu
aí
passou
hoje
vos
cair
nariz
ah
entrada
gilderoy
professores
aranhas
justin
goyle
aquela
aquilo
rapaz
tentando
houve
afirmou
parte
segundo
pensou
correr
sabe
sabes
este
sentiu
palavras
teve
explicou
chegar
gente
hora
certeza
poderia
teria
dudley
mãe
ideia
draco
ruído
posso
secretária
força
andar
livro
eram
grandes
cheia
expressão
tentar
ti
olhava
pedra
serpente
tens
modo
mim
deixou
longe
cor
aberta
acima
crabbe
poção
pôr
óculos
passar
pensar
logo
minutos
fazendo
escuro
neville
basilisk
perto
história
espera
tanto
tirou
seria
elfo
salto
meus
pegou
velho
manto
pomfrey
herdeiro
fawkes
primeira
tentou
petúnia
dursleys
cadeira
primeiro
salão
vida
apenas
és
têm
preciso
furioso
fang
monstro
bludger
essa
tia
família
bateu
tecto
desde
fazia
feito
entrou
duas
longo
dentes
ler
los
lucius
parece
queixosa
vais
esse
mostrar
certo
amigos
pernas
poder
tenha
tremer
